english_name,Characteristic,cuisine,category,English_ingredient,description, vegetarians,allergy,keywords,temp,Calories
Sliced Raw Fish (Sashimi),"['Nutty', 'mild']",Korean,"['seafood', 'raw']","['Small', 'anchovy', 'leek', 'water']","Sliced Raw Fish, or *Sashimi*, is a Japanese delicacy featuring thin slices of raw fish or seafood, served fresh without any cooking or seasoning. The fish, chosen for its freshness and high quality, is carefully sliced to highlight its texture and natural flavor. Common types of sashimi include tuna, salmon, yellowtail, mackerel, and sea bream, as well as shellfish like scallops and octopus. Sashimi is typically served with a side of soy sauce for dipping, along with wasabi and pickled ginger. The wasabi adds a touch of heat, while the pickled ginger serves as a palate cleanser between bites. Sometimes accompanied by shredded daikon radish or shiso leaves for added flavor and presentation, sashimi is celebrated for its clean, pure taste and delicate texture, allowing the true essence of the fish to shine.",0,['fish'],"['wasabi', 'leaf', 'ginger', 'shine', 'cleanser', 'Sashimi', 'fish', 'sashimi', 'octopus', 'palate', 'shiso', 'soy', 'bream', 'yellowtail', 'sea', 'scallop', 'bite', 'mackerel', 'daikon', 'sauce', 'Japanese', 'seafood']",cold,200
Braised Fish,"['Salty', 'nutty']",Korean,"['seafood', 'stew']","['Early', 'radish', 'onion', 'oyster mushroom', 'leek']","Braised Fish is a flavorful dish where fish is gently simmered in a savory sauce until tender and fully infused with the seasonings. The fish, often varieties like mackerel, cod, or snapper, is typically marinated or seasoned before braising, allowing it to absorb the flavors deeply. The braising sauce usually includes ingredients like soy sauce, garlic, ginger, and a touch of sugar, creating a rich, slightly sweet and salty profile. In Korean cuisine, *Godeungeo Jorim* (braised mackerel) often features gochugaru (Korean chili flakes) for added spice, along with vegetables like radish, green onions, or carrots, which contribute texture and sweetness to the dish. The fish is simmered until the sauce thickens, coating the fish in a glossy, flavorful glaze. Braised Fish is typically served with steamed rice, balancing its rich flavors and making for a satisfying, hearty meal.",0,['fish'],"['cuisine', 'cod', 'ginger', 'spice', 'onion', 'Braised Fish', 'carrot', 'godeungeo', 'fish', 'thickens', 'Godeungeo Jorim', 'chili', 'contribute', 'sugar', 'soy', 'Korean', 'mackerel', 'jorim', 'salty', 'tender', 'sauce', 'rice', 'snapper']",warm,400
Spicy Chicken Feet,"['Spicy', 'chewy', 'salty']",Korean,['vegetables'],"['Chicken feet', 'sake']","Spicy Chicken Feet, or *Dakbal* in Korean cuisine, is a bold and flavorful dish made by stir-frying or braising chicken feet in a spicy, savory sauce. The chicken feet are cleaned and often briefly boiled to soften them before being simmered in a sauce made from gochujang (Korean chili paste), gochugaru (chili flakes), soy sauce, garlic, and a touch of sugar or honey for a hint of sweetness. This sauce gives the dish a deep red color and a fiery, tangy flavor. The feet are cooked until tender, allowing them to absorb the intense flavors of the sauce, and are often garnished with sesame seeds and sliced green onions. Spicy Chicken Feet are typically enjoyed as a bar snack or street food, loved for their unique chewy texture and addictive heat, often paired with a side of cold beer to balance the spice.",0,[],"['touch', 'cuisine', 'bar', 'foot', 'spice', 'honey', 'onion', 'spicy', 'snack', 'seed', 'sweetness', 'paste', 'food', 'Chicken Feet', 'chili', 'sugar', 'street', 'hint', 'gochugaru', 'fiery', 'Korean', 'beer', 'sauce', 'tender', 'tangy', 'deep', 'color']",warm,350
Vietnamese Spring Rolls,"['Mild', 'crunchy', 'nutty']",Vietnamese,['vegetables'],"['Rice paper', 'cucumber', 'onion', 'flavor', 'sesame leaf', 'can -peneapple', 'paprika', 'shrimp', 'chili sauce']","Vietnamese Spring Rolls, or *Gỏi cuốn*, are fresh, light rolls made with a variety of ingredients wrapped in rice paper, offering a refreshing blend of textures and flavors. Typically, these rolls are filled with cooked shrimp or slices of pork, thin rice vermicelli noodles, crisp lettuce, fresh herbs like mint or cilantro, and sometimes slices of cucumber or carrots. The ingredients are carefully arranged on a moistened rice paper sheet, then rolled tightly to create a compact, handheld bundle. Vietnamese Spring Rolls are usually served with a dipping sauce, often *nước chấm* (a tangy fish sauce-based dip with lime, garlic, and chili) or a rich peanut sauce, adding savory and slightly sweet notes to each bite. Known for their freshness and balanced flavors, these rolls are enjoyed as a healthy appetizer or light meal.",1,"['sesame', 'shellfish']","['roll', 'shrimp', 'Spring Rolls', 'peanut', 'cuốn', 'appetizer', 'Vietnamese', 'carrot', 'cilantro', 'vermicelli noodles', 'note', 'pork', 'herb', 'cucumber', 'gỏi', 'chili', 'crisp', 'light', 'spring', 'paper', 'lettuce', 'freshness', 'sheet', 'mint', 'chấm', 'vermicelli', 'lime', 'dip', 'bite', 'sauce', 'rice']",warm,250
Suyuk (Boiled Pork Slices),"['Soft', 'nutty', 'mild']",Korean,['meat'],"['Sourcement', 'oyster sauce', 'pepper', 'green onion', 'garlic', 'miso', 'ginger', 'laurel leaves']","Suyuk, or Boiled Pork Slices, is a Korean dish featuring tender slices of pork that have been slowly simmered to perfection. Made from cuts like pork belly or shoulder, the pork is boiled with aromatics such as garlic, ginger, green onions, and sometimes doenjang (Korean soybean paste) to remove any gaminess and infuse the meat with a subtle, savory flavor. Once fully cooked, the pork is sliced into thin pieces, revealing its juicy, tender texture. Suyuk is typically served with accompaniments like salted shrimp, ssamjang (a spicy dipping sauce), and fresh vegetables such as napa cabbage, perilla leaves, and garlic slices. Diners often wrap the pork in leafy greens with condiments, creating a flavorful, balanced bite. Known for its simplicity and clean flavors, Suyuk is a comforting and hearty dish enjoyed on its own or as part of a larger meal.",0,['shellfish'],"['cut', 'ginger', 'suyuk', 'shrimp', 'Suyuk', 'onion', 'Boiled Pork Slices', 'soybean', 'spicy', 'pork', 'paste', 'meat', 'cabbage', 'ssamjang', 'Korean', 'bite', 'tender', 'sauce', 'diner', 'leafy', 'gaminess', 'perilla']",warm,500
Salad,"['Crunchy', 'mild', 'nutty', 'light']",Korean,['vegetables'],"['Plain yogurt', 'honey', 'lemon juice', 'mayonnaise', 'salt', 'pepper', 'salad vegetables']","Salad is a versatile dish made from a mix of fresh vegetables, fruits, proteins, and sometimes grains, tossed together to create a refreshing, nutritious meal or side dish. Common base ingredients include leafy greens like lettuce, spinach, or arugula, combined with a variety of toppings such as tomatoes, cucumbers, carrots, and bell peppers for color and crunch. Proteins like grilled chicken, tuna, eggs, or tofu are often added to make the salad more filling, along with nuts, seeds, or cheese for extra texture and flavor. Dressings, ranging from simple vinaigrettes to creamy options like Caesar or ranch, are used to tie the ingredients together with a balanced taste. Salads can be customized with a variety of ingredients, making them a healthy, adaptable option suitable for nearly any meal.",1,[],"['ranch', 'egg', 'seed', 'carrot', 'vinaigrette', 'protein', 'cucumber', 'chicken', 'filling', 'salad', 'lettuce', 'spinach', 'Caesar', 'caesar', 'tuna', 'arugula', 'fruit', 'mix', 'color']",cold,150
Sandwich,"['Mild', 'nutty']",Western,['bread'],"['Bread', 'onion', 'cabbage', 'butter']","A sandwich is a versatile dish consisting of fillings placed between slices of bread or a roll, making it easy to customize and eat on the go. Common sandwich fillings include proteins like sliced meats (ham, turkey, roast beef), cheese, and spreads like mayonnaise or mustard, along with fresh vegetables such as lettuce, tomatoes, and cucumbers. Sandwiches can range from simple, like a classic peanut butter and jelly, to more complex varieties like club sandwiches with multiple layers or grilled paninis with melted cheese. Variations include hot or cold sandwiches, open-faced styles, and wraps. Typically served as a quick and satisfying meal or snack, sandwiches are loved for their convenience, adaptability, and endless flavor combinations.",1,[],"['bread', 'tomato', 'sandwich', 'roll', 'simple', 'peanut', 'snack', 'beef', 'protein', 'cucumber', 'meat', 'mustard', 'filling', 'club', 'lettuce', 'endless', 'turkey', 'panini', 'ham', 'mayonnaise', 'wrap', 'butter', 'roast']",cold,450
Hamburger,"['Crispy', 'nutty', 'salty']",Western,"['bread', 'meat', 'vegetables']","['Pork', 'beef', 'onion', 'pickle', 'paprika', 'cheese', 'hamburger bread', 'lettuce', 'mayonnaise', 'tomato', 'bread']","A hamburger is a popular dish consisting of a seasoned ground beef patty, cooked and served inside a sliced bun. The patty is often grilled, pan-fried, or broiled until juicy on the inside with a flavorful crust on the outside. Classic toppings include lettuce, tomato, onions, pickles, and cheese, along with condiments like ketchup, mustard, and mayonnaise. Variations can include bacon, avocado, mushrooms, or specialty sauces, offering diverse flavors and textures. The hamburger bun is typically soft and slightly toasted, providing a sturdy base that complements the rich, savory beef. Known for its customizable nature, the hamburger is a favorite comfort food and is enjoyed worldwide as a satisfying, hearty meal.",0,[],"['complement', 'bacon', 'include', 'onion', 'avocado', 'mushroom', 'hamburger', 'beef', 'specialty', 'Classic', 'food', 'patty', 'bun', 'lettuce', 'hearty', 'mayonnaise', 'ground', 'cheese', 'sauce']",warm,700
Chicken Burger,"['Crispy', 'nutty', 'salty', 'mild']",Western,"['bread', 'fried', 'vegetables']","['Morning bread', 'cabbage', 'chicken']","A chicken burger is a flavorful sandwich made with a seasoned chicken patty or grilled chicken breast served inside a soft bun. The chicken can be grilled, fried, or breaded, creating a juicy, tender texture with a crispy outer layer if breaded or fried. Classic toppings include lettuce, tomato, and mayonnaise, which add freshness and creaminess, and it is often garnished with pickles or cheese for extra flavor. Variations may include spicy sauces, avocado, or bacon, giving the chicken burger a range of tastes from mild to spicy or savory. The bun is usually toasted, complementing the rich flavors and ensuring a satisfying bite. Known for its versatility and lighter alternative to a beef burger, the chicken burger is a popular choice for a tasty and filling meal.",0,[],"['sandwich', 'include', 'bacon', 'burger', 'spicy', 'beef', 'Classic', 'add', 'breast', 'outer', 'chicken', 'filling', 'patty', 'bun', 'crispy', 'lettuce', 'freshness', 'mild', 'mayonnaise', 'versatility', 'tasty', 'creaminess', 'tender', 'sauce']",warm,600
Shrimp Burger,"['Crispy', 'nutty', 'salty', 'mild']",Western,"['bread', 'seafood', 'vegetables']","['Shrimp meat', 'onion', 'bread crumbs', 'eggs', 'flour', 'salt', 'lettuce', 'chicory', 'pickle', 'cherry tomato']","A shrimp burger is a delicious seafood twist on the classic burger, featuring a patty made from chopped or ground shrimp, seasoned with spices and herbs. The shrimp is often combined with breadcrumbs or a light batter to help hold the patty together, and then pan-fried or grilled until crispy on the outside and tender inside. The burger is typically served on a soft, toasted bun with fresh toppings like lettuce, tomato, and creamy sauces such as tartar, spicy mayo, or aioli, which enhance the shrimp’s delicate, sweet flavor. Variations may include additions like avocado, pickles, or coleslaw, providing a balance of crunch and creaminess. The shrimp burger is loved for its unique, slightly briny taste and juicy texture, offering a refreshing, lighter alternative to traditional meat-based burgers.",0,"['shellfish', 'eggs']","['tartar', 'tomato', 'coleslaw', 'shrimp', 'batter', 'burger', 'avocado', 'mayo', 'spicy', 'herb', 'patty', 'lettuce', 'light', 'crispy', 'pickle', 'twist', 'ground', 'creaminess', 'tender', 'sauce', 'seafood']",warm,650
